id,name,parent_collection,resource_type,tasks,domain,series_structure,multivariate,frequency,num_series,min_length,max_length,missing_values,license,access,source_url,citation_url,last_verified,notes
ucr-2018,UCR Time Series Classification Archive,,archive,classification;clustering,multiple,univariate dataset collection,no,varies,128 datasets,,,,Varies by constituent dataset/source,public,https://www.timeseriesclassification.com/,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,2026-09-22,2018 relaunch contains 128 univariate time-series classification datasets.
uea-mtsc,UEA Multivariate Time Series Classification Archive,,archive,classification,multiple,multivariate dataset collection,yes,varies,30 datasets,,,,Varies by constituent dataset/source,public,https://www.timeseriesclassification.com/,https://arxiv.org/abs/1811.00075,2026-09-22,The original 2018 multivariate archive contains 30 datasets.
tser,Time Series Extrinsic Regression Archive,,archive,regression,multiple,time-series regression dataset collection,varies,varies,,,,,Varies by constituent dataset/source,public,https://www.timeseriesclassification.com/,,2026-09-22,Repository for time-series extrinsic regression datasets.
monash-forecasting,Monash Time Series Forecasting Archive,,archive,forecasting,multiple,forecasting dataset collection,varies,varies,,,,,Varies by constituent dataset/source,public,https://forecastingdata.org/,https://doi.org/10.48550/arXiv.2105.06643,2026-09-22,Standardized forecasting datasets distributed in TSF format.
m1,M1,Monash Time Series Forecasting Archive,dataset,forecasting,multiple,collection of time series,no,yearly;quarterly;monthly,1001,15,150,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
m3,M3,Monash Time Series Forecasting Archive,dataset,forecasting,multiple,collection of time series,no,yearly;quarterly;monthly;other,3003,20,144,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
m4,M4,Monash Time Series Forecasting Archive,dataset,forecasting,multiple,collection of time series,no,yearly;quarterly;monthly;weekly;daily;hourly,100000,19,9933,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
tourism,Tourism,Monash Time Series Forecasting Archive,dataset,forecasting,tourism,collection of time series,no,yearly;quarterly;monthly,1311,11,333,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
cif-2016,CIF 2016,Monash Time Series Forecasting Archive,dataset,forecasting,banking,collection of time series,no,monthly,72,34,120,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive. competition dataset
london-smart-meters,London Smart Meters,Monash Time Series Forecasting Archive,dataset,forecasting,energy,collection of time series,no,,5560,288,39648,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
australian-electricity-demand,Australian Electricity Demand,Monash Time Series Forecasting Archive,dataset,forecasting,energy,collection of time series,no,,5,230736,232272,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
wind-farms,Wind Farms,Monash Time Series Forecasting Archive,dataset,forecasting,energy,collection of time series,no,,339,6345,527040,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
dominick,Dominick,Monash Time Series Forecasting Archive,dataset,forecasting,sales,collection of time series,no,weekly,115704,28,393,no,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
bitcoin,Bitcoin,Monash Time Series Forecasting Archive,dataset,forecasting,economic,collection of time series,no,,18,2659,4581,varies,See original dataset/source terms linked by Monash,public via Monash archive,https://forecastingdata.org/,https://forecastingdata.org/,2026-09-22,Metadata packaged by the Monash Forecasting Archive.
